age,math,club
10,81,спорт
16,74,информатика
15,56,спорт
13,89,спорт
13,12,музыка
17,93,информатика
10,85,нет
16,50,информатика
11,74,нет
10,52,информатика
14,27,музыка
18,80,музыка
16,24,информатика
16,31,нет
16,52,информатика
17,84,спорт
14,38,музыка
11,49,нет
17,4,спорт
14,11,информатика
14,5,нет
13,7,нет
11,87,нет
18,85,музыка
17,83,музыка
15,5,информатика
13,7,нет
17,28,информатика
14,57,нет
13,33,информатика
14,49,музыка
12,17,нет
10,73,музыка
14,31,нет
17,6,информатика
10,75,музыка
17,91,информатика
17,1,информатика
12,44,информатика
15,83,спорт
11,71,спорт
16,86,музыка
16,41,музыка
13,37,музыка
10,71,спорт
18,15,информатика
14,24,спорт
18,60,нет
16,67,нет
17,12,спорт
16,51,музыка
11,36,спорт
13,50,спорт
14,96,спорт
14,7,информатика
10,100,музыка
14,45,нет
11,77,спорт
16,42,музыка
16,31,нет
18,77,нет
16,69,музыка
13,14,спорт
18,71,музыка
13,76,информатика
12,39,нет
18,93,информатика
13,64,нет
10,33,спорт
14,1,информатика
17,68,нет
11,21,музыка
14,76,информатика
11,53,нет
16,47,нет
14,16,информатика
12,71,музыка
12,16,информатика
15,42,музыка
16,84,информатика
18,92,спорт
13,99,нет
11,96,нет
17,56,нет
15,20,нет
16,84,нет
10,80,нет
12,100,нет
16,65,информатика
17,14,информатика
13,50,спорт
17,45,музыка
17,85,информатика
13,39,спорт
18,33,музыка
12,8,информатика
12,84,спорт
16,76,нет
15,4,нет
11,43,спорт
17,48,спорт
11,47,информатика
17,92,нет
10,15,нет
17,30,спорт
17,18,нет
17,24,спорт
15,91,информатика
14,95,нет
16,4,спорт
12,63,спорт
17,23,информатика
15,19,музыка
14,29,нет
14,19,нет
15,49,спорт
10,100,спорт
11,59,нет
12,73,спорт
11,49,нет
13,1,музыка
16,8,спорт
15,27,нет
14,24,спорт
17,84,информатика
15,85,музыка
10,86,музыка
16,64,нет
15,56,музыка
15,65,нет
15,41,нет
14,67,музыка
10,80,спорт
15,77,нет
17,61,нет
12,5,информатика
15,73,информатика
10,37,информатика
13,75,спорт
13,54,музыка
18,88,информатика
11,34,нет
12,94,нет
13,85,нет
18,33,информатика
17,48,информатика
10,53,нет
12,77,нет
17,69,информатика
10,86,нет
17,37,спорт
12,50,нет
18,43,спорт
12,91,спорт
13,30,музыка
15,59,спорт
11,12,спорт
15,85,спорт
14,38,информатика
17,34,нет
18,58,спорт
15,50,музыка
13,85,нет
13,53,спорт
13,52,спорт
17,10,нет
12,2,нет
11,40,музыка
13,100,нет
10,92,спорт
10,63,информатика
10,63,нет
16,39,спорт
16,17,нет
16,0,музыка
14,34,нет
16,31,информатика
11,19,информатика
18,26,спорт
14,2,спорт
18,61,нет
11,93,спорт
14,69,спорт
16,45,спорт
14,42,спорт
14,31,нет
11,14,информатика
13,60,нет
12,57,спорт
12,0,музыка
16,41,информатика
15,28,информатика
15,17,нет
13,71,нет
18,53,нет
10,64,спорт
13,72,спорт
11,99,музыка
13,81,информатика
18,62,нет
13,88,музыка
18,48,музыка
14,99,нет
16,76,нет
14,65,спорт
12,91,спорт
16,52,музыка
18,72,информатика
12,28,спорт
17,97,информатика
12,62,нет
16,78,нет
17,46,музыка
14,87,информатика
16,7,спорт
12,11,музыка
10,51,информатика
10,73,музыка
14,81,музыка
18,44,спорт
11,65,спорт
14,55,спорт
16,97,нет
11,66,музыка
16,42,спорт
12,97,нет
17,10,информатика
15,99,информатика
14,15,нет
11,29,спорт
14,82,спорт
17,74,музыка
10,98,спорт
16,75,музыка
14,64,спорт
16,34,спорт
15,0,спорт
13,12,информатика
12,30,спорт
15,4,спорт
11,51,нет
15,78,информатика
10,97,информатика
15,49,спорт
15,88,информатика
10,99,спорт
16,86,музыка
13,46,спорт
17,32,нет
10,98,нет
11,24,спорт
14,41,спорт
11,7,спорт
12,80,музыка
15,65,спорт
11,8,нет
16,22,нет
10,56,нет
11,54,музыка
15,81,нет
17,26,спорт
11,93,информатика
12,44,информатика
18,83,нет
18,24,музыка
15,3,нет
14,5,спорт
13,37,нет
15,96,информатика
15,4,информатика
12,37,нет
10,11,информатика
11,94,информатика
18,68,музыка
13,77,спорт
14,72,информатика
14,66,спорт
17,78,спорт
10,0,нет
10,87,музыка
12,74,информатика
14,74,информатика
16,39,информатика
14,80,музыка
13,38,нет
18,4,нет
11,91,информатика
15,23,информатика
14,10,информатика
14,62,музыка
17,23,информатика
12,86,музыка
18,44,музыка
12,0,информатика
14,96,информатика
14,51,информатика
17,26,спорт
13,68,спорт
12,53,нет
10,2,информатика
13,76,спорт
17,40,музыка
10,70,нет
18,90,спорт
14,61,нет
11,67,нет
12,25,музыка
14,24,музыка
12,41,спорт
10,86,нет
15,52,информатика
16,35,нет
11,78,музыка
12,86,спорт
12,91,спорт
15,30,нет
16,71,музыка
16,59,спорт
18,45,нет
16,40,нет
12,11,информатика
10,27,информатика
15,55,спорт
18,89,нет
18,87,информатика
12,18,нет
12,68,информатика
10,8,музыка
11,68,спорт
14,34,спорт
14,45,нет
13,72,информатика
12,42,музыка
17,81,нет
14,53,нет
17,100,нет
18,64,спорт
12,29,музыка
11,78,нет
18,41,информатика
15,53,спорт
12,13,нет
15,12,информатика
14,58,музыка
18,18,нет
12,100,музыка
18,86,информатика
18,70,информатика
11,74,информатика
11,60,спорт
14,6,нет
10,39,нет
12,50,информатика
13,92,информатика
18,22,нет
18,50,спорт
11,34,музыка
18,13,информатика
10,10,нет
16,36,спорт
17,8,музыка
18,6,информатика
12,35,музыка
18,20,спорт
11,56,информатика
14,1,музыка
14,30,спорт
12,45,спорт
10,97,спорт
16,64,информатика
13,88,спорт
15,34,нет
13,45,информатика
13,42,нет
17,89,нет
10,96,спорт
16,97,музыка
16,75,нет
13,50,музыка
